M,N,K,libtype,solidx,soltimems,indtype,outdtype
8192,1255,28672,hipblaslt,77675,0.625953197479248,torch.float8_e4m3fnuz,torch.float16
8192,2571,8192,hipblaslt,77829,0.3359696388244629,torch.float8_e4m3fnuz,torch.float16
8192,898,28672,hipblaslt,77870,0.49312143325805663,torch.float8_e4m3fnuz,torch.float16
57344,1602,8192,hipblaslt,77950,1.4962264060974122,torch.float8_e4m3fnuz,torch.float16
8192,267,28672,hipblaslt,76808,0.21136510372161865,torch.float8_e4m3fnuz,torch.float16
8192,5811,28672,hipblaslt,77922,2.674409294128418,torch.float8_e4m3fnuz,torch.float16
8192,1591,28672,hipblaslt,77939,0.7338510990142822,torch.float8_e4m3fnuz,torch.float16
8192,2074,8192,hipblaslt,77927,0.2901918411254883,torch.float8_e4m3fnuz,torch.float16
8192,1496,28672,hipblaslt,77895,0.6806121826171875,torch.float8_e4m3fnuz,torch.float16
8192,3284,8192,hipblaslt,77890,0.42134814262390136,torch.float8_e4m3fnuz,torch.float16
8192,164,28672,hipblaslt,76925,0.13045574426651002,torch.float8_e4m3fnuz,torch.float16
10240,155,8192,hipblaslt,77997,0.0591376006603241,torch.float8_e4m3fnuz,torch.float16
8192,755,8192,hipblaslt,77866,0.11764030456542969,torch.float8_e4m3fnuz,torch.float16
8192,878,28672,hipblaslt,77399,0.458722448348999,torch.float8_e4m3fnuz,torch.float16
8192,5170,8192,hipblaslt,77888,0.6237198829650878,torch.float8_e4m3fnuz,torch.float16
57344,2090,8192,hipblaslt,77952,1.9430282592773438,torch.float8_e4m3fnuz,torch.float16
8192,4434,28672,hipblaslt,78013,1.999489974975586,torch.float8_e4m3fnuz,torch.float16
10240,2221,8192,hipblaslt,77916,0.3618520021438599,torch.float8_e4m3fnuz,torch.float16
10240,2257,8192,hipblaslt,77495,0.3710896968841553,torch.float8_e4m3fnuz,torch.float16
57344,6789,8192,hipblaslt,77880,6.022811412811279,torch.float8_e4m3fnuz,torch.float16
8192,777,28672,hipblaslt,77419,0.45406355857849123,torch.float8_e4m3fnuz,torch.float16
8192,5076,8192,hipblaslt,77984,0.6203849792480469,torch.float8_e4m3fnuz,torch.float16
57344,494,8192,hipblaslt,77939,0.48592586517333985,torch.float8_e4m3fnuz,torch.float16
8192,3191,8192,hipblaslt,77720,0.4101736068725586,torch.float8_e4m3fnuz,torch.float16
57344,57,8192,hipblaslt,77989,0.15759844779968263,torch.float8_e4m3fnuz,torch.float16
8192,1775,8192,hipblaslt,78012,0.23471920490264891,torch.float8_e4m3fnuz,torch.float16
8192,1860,8192,hipblaslt,77926,0.24916510581970214,torch.float8_e4m3fnuz,torch.float16
10240,1007,8192,hipblaslt,77495,0.18304915428161622,torch.float8_e4m3fnuz,torch.float16
10240,4649,8192,hipblaslt,77924,0.7244670867919922,torch.float8_e4m3fnuz,torch.float16
57344,699,8192,hipblaslt,78018,0.6860261917114258,torch.float8_e4m3fnuz,torch.float16
